hotel,is_canceled,lead_time,arrival_date_month,adults,children,country,agent,company,adr
Resort Hotel,0,342,July,2,0.0,PRT,,,0.0
Resort Hotel,0,737,July,2,0.0,PRT,,,0.0
Resort Hotel,0,7,July,1,0.0,GBR,,,75.0
Resort Hotel,0,13,July,1,0.0,GBR,304.0,,75.0
Resort Hotel,0,14,July,2,0.0,GBR,240.0,,98.0
Resort Hotel,0,14,July,2,0.0,GBR,240.0,,98.0
Resort Hotel,0,0,July,2,0.0,PRT,,,107.0
Resort Hotel,0,9,July,2,0.0,PRT,303.0,,103.0
Resort Hotel,1,85,July,2,0.0,PRT,240.0,,82.0
Resort Hotel,1,75,July,2,0.0,PRT,15.0,,105.5
Resort Hotel,1,23,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,35,July,2,0.0,PRT,240.0,,145.0
Resort Hotel,0,68,July,2,0.0,USA,240.0,,97.0
Resort Hotel,0,18,July,2,1.0,ESP,241.0,,154.77
Resort Hotel,0,37,July,2,0.0,PRT,241.0,,94.71
Resort Hotel,0,68,July,2,0.0,IRL,240.0,,97.0
Resort Hotel,0,37,July,2,0.0,PRT,8.0,,97.5
Resort Hotel,0,12,July,2,0.0,IRL,240.0,,88.2
Resort Hotel,0,0,July,2,0.0,FRA,,110.0,107.42
Resort Hotel,0,7,July,2,0.0,GBR,250.0,,153.0
Resort Hotel,0,37,July,1,0.0,GBR,241.0,,97.29
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,84.67
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,84.67
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,99.67
Resort Hotel,0,127,July,2,0.0,GBR,115.0,,94.95
Resort Hotel,0,78,July,2,0.0,PRT,5.0,,63.6
Resort Hotel,0,48,July,2,0.0,IRL,8.0,,79.5
Resort Hotel,1,60,July,2,0.0,PRT,240.0,,107.0
Resort Hotel,0,77,July,2,0.0,PRT,240.0,,94.0
Resort Hotel,0,99,July,2,0.0,PRT,240.0,,87.3
Resort Hotel,0,118,July,1,0.0,,,,62.0
Resort Hotel,0,95,July,2,0.0,GBR,241.0,,63.86
Resort Hotel,1,96,July,2,0.0,PRT,,,108.3
Resort Hotel,0,69,July,2,0.0,IRL,175.0,,65.5
Resort Hotel,1,45,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,1,40,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,0,15,July,2,0.0,ESP,240.0,,98.0
Resort Hotel,0,36,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,1,43,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,0,70,July,2,0.0,ROU,250.0,,137.0
Resort Hotel,1,45,July,2,0.0,PRT,241.0,,117.81
Resort Hotel,0,45,July,2,0.0,IRL,8.0,,79.5
Resort Hotel,0,16,July,2,0.0,ESP,,,123.0
Resort Hotel,0,70,July,2,0.0,ROU,250.0,,137.0
Resort Hotel,0,107,July,2,0.0,PRT,240.0,,110.7
Resort Hotel,1,47,July,2,2.0,PRT,240.0,,153.0
Resort Hotel,0,96,July,2,0.0,ESP,134.0,,58.95
Resort Hotel,0,113,July,2,0.0,NOR,156.0,,82.88
Resort Hotel,0,90,July,2,0.0,GBR,243.0,,82.35
Resort Hotel,0,50,July,2,0.0,IRL,241.0,,119.35
Resort Hotel,0,113,July,2,0.0,NOR,156.0,,67.58
Resort Hotel,0,93,July,2,0.0,IRL,156.0,,56.01
Resort Hotel,0,76,July,2,0.0,OMN,243.0,,110.7
Resort Hotel,0,3,July,2,0.0,ESP,240.0,,88.2
Resort Hotel,0,1,July,2,0.0,ARG,240.0,,147.0
Resort Hotel,0,1,July,2,2.0,ESP,,,107.0
Resort Hotel,0,0,July,2,0.0,PRT,,,147.0
Resort Hotel,0,0,July,2,0.0,PRT,240.0,,117.9
Resort Hotel,0,0,July,2,0.0,PRT,,,123.0
Resort Hotel,0,14,July,2,0.0,USA,242.0,,98.0
Resort Hotel,0,10,July,2,0.0,PRT,241.0,,117.81
Resort Hotel,0,5,July,2,0.0,IRL,240.0,,135.0
Resort Hotel,0,17,July,2,0.0,ESP,250.0,,133.0
Resort Hotel,0,93,July,2,0.0,IRL,115.0,,58.95
Resort Hotel,1,3,July,2,0.0,PRT,240.0,,136.33
Resort Hotel,0,10,July,2,2.0,USA,240.0,,153.0
Resort Hotel,0,3,July,2,0.0,ESP,240.0,,110.5
Resort Hotel,0,51,July,2,0.0,POL,242.0,,97.0
Resort Hotel,1,71,July,3,0.0,PRT,242.0,,110.3
Resort Hotel,1,63,July,2,0.0,PRT,240.0,,82.0
Resort Hotel,1,62,July,2,0.0,PRT,240.0,,97.0
Resort Hotel,1,101,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,0,2,July,2,0.0,PRT,3.0,,91.5
Resort Hotel,0,15,July,2,0.0,ESP,240.0,,114.5
Resort Hotel,1,51,July,3,0.0,PRT,242.0,,110.3
Resort Hotel,0,3,July,2,0.0,ESP,240.0,,90.9
Resort Hotel,1,48,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,2,July,1,0.0,PRT,240.0,,122.0
Resort Hotel,0,72,July,2,0.0,DEU,105.0,,110.7
Resort Hotel,0,81,July,3,0.0,PRT,5.0,,85.86
Resort Hotel,0,99,July,2,0.0,FRA,40.0,,58.95
Resort Hotel,1,368,July,2,0.0,PRT,40.0,,55.68
Resort Hotel,0,364,July,2,0.0,GBR,40.0,,55.68
Resort Hotel,1,81,July,2,0.0,PRT,250.0,,124.0
Resort Hotel,0,99,July,2,0.0,GBR,115.0,,111.15
Resort Hotel,0,324,July,2,0.0,GBR,40.0,,134.73
Resort Hotel,0,69,July,2,0.0,GBR,241.0,,92.45
Resort Hotel,1,79,July,2,1.0,PRT,242.0,,108.73
Resort Hotel,0,12,July,2,0.0,GBR,240.0,,73.8
Resort Hotel,0,9,July,2,0.0,PRT,240.0,,98.0
Resort Hotel,0,1,July,2,0.0,ESP,240.0,,131.0
Resort Hotel,0,21,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,9,July,2,0.0,USA,241.0,,94.71
Resort Hotel,0,109,July,2,0.0,BEL,240.0,,123.0
Resort Hotel,1,109,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,1,72,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,1,63,July,2,0.0,PRT,242.0,,117.0
Resort Hotel,0,63,July,3,0.0,ESP,105.0,,196.54
Resort Hotel,0,101,July,2,1.0,PRT,240.0,,99.3
Resort Hotel,0,102,July,2,0.0,DEU,250.0,,90.95
Resort Hotel,0,4,July,2,0.0,ESP,250.0,,92.67
Resort Hotel,0,98,July,2,0.0,FRA,8.0,,71.55
Resort Hotel,0,92,July,1,2.0,FRA,241.0,,96.49
Resort Hotel,0,95,July,2,0.0,PRT,240.0,,85.8
Resort Hotel,0,102,July,2,0.0,PRT,240.0,,96.3
Resort Hotel,1,26,July,2,2.0,PRT,240.0,,163.0
Resort Hotel,1,73,July,3,0.0,PRT,250.0,,172.0
Resort Hotel,1,102,July,2,0.0,PRT,240.0,,110.7
Resort Hotel,0,115,July,2,0.0,PRT,134.0,,58.95
Resort Hotel,0,102,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,0,86,July,2,0.0,CHE,240.0,,97.0
Resort Hotel,0,78,July,2,0.0,PRT,240.0,,139.0
Resort Hotel,0,52,July,2,0.0,GBR,147.0,,67.24
Resort Hotel,0,29,July,3,0.0,PRT,241.0,,116.5
Resort Hotel,1,101,July,2,0.0,PRT,240.0,,96.3
Resort Hotel,0,109,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,92,July,2,0.0,GBR,40.0,,71.55
Resort Hotel,0,92,July,2,0.0,PRT,40.0,,71.55
Resort Hotel,0,79,July,2,1.0,PRT,250.0,,149.0
Resort Hotel,0,2,July,2,2.0,PRT,240.0,,163.0
Resort Hotel,0,30,July,2,0.0,PRT,8.0,,79.5
Resort Hotel,1,51,July,1,0.0,PRT,240.0,,105.0
Resort Hotel,1,36,July,1,0.0,PRT,250.0,,123.0
Resort Hotel,1,73,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,1,33,July,2,0.0,PRT,240.0,,113.0
Resort Hotel,0,32,July,4,0.0,PRT,,,0.0
Resort Hotel,0,8,July,2,0.0,ESP,240.0,,123.0
Resort Hotel,0,100,July,2,0.0,FRA,240.0,,73.8
Resort Hotel,0,1,July,2,0.0,PRT,240.0,,114.5
Resort Hotel,0,100,July,2,0.0,FRA,240.0,,73.8
Resort Hotel,0,100,July,2,0.0,FRA,240.0,,73.8
Resort Hotel,0,9,July,2,0.0,ESP,240.0,,88.2
Resort Hotel,1,5,July,2,0.0,PRT,240.0,,97.0
Resort Hotel,0,0,July,2,0.0,ESP,306.0,,85.1
Resort Hotel,0,9,July,1,0.0,DEU,184.0,,89.0
Resort Hotel,0,2,July,1,0.0,PRT,240.0,,80.1
Resort Hotel,0,2,July,2,0.0,PRT,240.0,,98.0
Resort Hotel,0,9,July,1,0.0,DEU,184.0,,101.0
Resort Hotel,1,5,July,2,0.0,PRT,240.0,,97.0
Resort Hotel,0,2,July,2,0.0,PRT,,,167.0
Resort Hotel,0,44,July,3,0.0,PRT,240.0,,225.0
Resort Hotel,0,80,July,2,0.0,FRA,240.0,,97.0
Resort Hotel,0,97,July,2,0.0,ESP,240.0,,87.3
Resort Hotel,0,109,July,2,1.0,CN,241.0,,85.59
Resort Hotel,0,30,July,2,0.0,ESP,240.0,,123.0
Resort Hotel,0,64,July,2,0.0,PRT,240.0,,107.0
Resort Hotel,0,39,July,2,0.0,ESP,240.0,,163.0
Resort Hotel,0,90,July,2,0.0,PRT,240.0,,82.0
Resort Hotel,1,34,July,2,2.0,PRT,240.0,,163.0
Resort Hotel,1,93,July,2,0.0,PRT,15.0,,105.5
Resort Hotel,0,97,July,2,2.0,PRT,250.0,,164.2
Resort Hotel,0,29,July,2,0.0,IRL,241.0,,97.29
Resort Hotel,1,101,July,2,0.0,PRT,240.0,,114.0
Resort Hotel,0,27,July,2,0.0,ESP,175.0,,98.4
Resort Hotel,0,8,July,2,2.0,CHE,240.0,,175.0
Resort Hotel,0,82,July,2,0.0,PRT,5.0,,63.6
Resort Hotel,0,94,July,3,0.0,PRT,,,124.45
Resort Hotel,0,110,July,2,0.0,GBR,40.0,,110.7
Resort Hotel,0,96,July,1,0.0,GBR,40.0,,74.07
Resort Hotel,0,79,July,2,0.0,GBR,243.0,,134.1
Resort Hotel,0,115,July,2,2.0,PRT,240.0,,167.0
Resort Hotel,0,111,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,51,July,2,0.0,USA,241.0,,117.81
Resort Hotel,0,94,July,3,0.0,CN,96.0,,171.32
Resort Hotel,0,81,July,2,2.0,CHE,250.0,,210.0
Resort Hotel,0,84,July,2,0.0,PRT,240.0,,97.0
Resort Hotel,0,51,July,3,0.0,USA,241.0,,117.81
Resort Hotel,0,111,July,2,0.0,PRT,240.0,,0.0
Resort Hotel,0,0,July,1,0.0,PRT,250.0,,0.0
Resort Hotel,0,2,July,2,1.0,PRT,,,131.0
Resort Hotel,0,7,July,2,0.0,PRT,240.0,,98.0
Resort Hotel,0,98,July,2,0.0,USA,240.0,,87.3
Resort Hotel,0,95,July,2,0.0,GRC,240.0,,97.0
Resort Hotel,1,48,July,2,0.0,PRT,240.0,,167.0
Resort Hotel,0,66,July,2,0.0,PRT,175.0,,91.5
Resort Hotel,0,104,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,0,28,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,34,July,2,0.0,PRT,250.0,,175.0
Resort Hotel,0,98,July,2,0.0,ESP,240.0,,117.8
Resort Hotel,0,104,July,2,0.0,PRT,240.0,,117.63
Resort Hotel,0,68,July,2,2.0,PRT,240.0,,185.0
Resort Hotel,1,86,July,1,0.0,PRT,175.0,,71.0
Resort Hotel,0,258,July,2,0.0,GBR,2.0,,47.25
Resort Hotel,0,111,July,2,0.0,PRT,240.0,,151.0
Resort Hotel,1,94,July,2,0.0,PRT,240.0,,87.3
Resort Hotel,0,112,July,2,0.0,GBR,242.0,,120.6
Resort Hotel,0,100,July,2,0.0,GBR,241.0,,63.86
Resort Hotel,0,33,July,2,0.0,PRT,250.0,,157.1
Resort Hotel,0,97,July,2,0.0,GBR,156.0,,91.37
Resort Hotel,0,80,July,1,0.0,FRA,,,73.0
Resort Hotel,0,90,July,2,0.0,ITA,8.0,,110.7
Resort Hotel,0,111,July,2,0.0,GBR,40.0,,93.6
Resort Hotel,0,65,July,2,0.0,PRT,127.0,,83.5
Resort Hotel,1,67,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,0,55,July,2,0.0,ESP,240.0,,82.0
Resort Hotel,0,21,July,2,1.0,PRT,250.0,,185.5
Resort Hotel,0,8,July,2,0.0,PRT,,,0.0
Resort Hotel,0,8,July,2,0.0,PRT,240.0,,0.0
Resort Hotel,0,0,July,1,0.0,GBR,240.0,,109.8
Resort Hotel,0,0,July,3,0.0,PRT,,,195.0
Resort Hotel,0,0,July,1,0.0,GBR,240.0,,109.8
Resort Hotel,0,8,July,3,2.0,ESP,240.0,,193.0
Resort Hotel,0,66,July,2,0.0,PRT,240.0,,97.0
Resort Hotel,0,88,July,3,0.0,USA,95.0,,150.0
Resort Hotel,0,0,July,2,0.0,NLD,,,98.0
Resort Hotel,1,43,July,2,0.0,PRT,134.0,,91.5
Resort Hotel,1,88,July,2,0.0,PRT,240.0,,139.0
Resort Hotel,0,54,July,2,0.0,IRL,8.0,,79.5
Resort Hotel,1,292,July,2,0.0,PRT,2.0,,47.25
Resort Hotel,0,112,July,2,0.0,IRL,156.0,,126.65
Resort Hotel,0,68,July,2,0.0,GBR,240.0,,107.0
Resort Hotel,0,7,July,2,0.0,PRT,240.0,,131.0
Resort Hotel,0,1,July,2,0.0,ESP,240.0,,131.0
Resort Hotel,1,113,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,5,July,2,0.0,ESP,240.0,,146.0
Resort Hotel,0,83,July,2,0.0,PRT,105.0,,110.7
Resort Hotel,1,105,July,2,0.0,PRT,240.0,,73.8
Resort Hotel,0,0,July,1,0.0,PRT,146.0,,61.0
Resort Hotel,1,1,July,2,0.0,PRT,,110.0,104.72
Resort Hotel,1,1,July,2,0.0,PRT,,110.0,104.72
Resort Hotel,0,1,July,2,0.0,CHE,,110.0,104.72
Resort Hotel,1,102,July,2,0.0,PRT,9.0,,66.42
Resort Hotel,0,113,July,2,0.0,PRT,250.0,,77.96
Resort Hotel,1,280,July,2,1.0,PRT,40.0,,112.0
Resort Hotel,0,96,July,2,0.0,GBR,240.0,,107.0
Resort Hotel,0,394,July,2,0.0,GBR,40.0,,89.68
Resort Hotel,0,33,July,2,0.0,PRT,240.0,,155.0
Resort Hotel,0,82,July,3,0.0,IRL,250.0,,112.0
Resort Hotel,0,100,July,3,0.0,DNK,240.0,,130.1
Resort Hotel,0,100,July,2,0.0,DNK,240.0,,100.1
Resort Hotel,0,17,July,2,2.0,PRT,242.0,,123.0
Resort Hotel,0,68,July,3,0.0,ARG,250.0,,124.0
Resort Hotel,0,12,July,2,2.0,PRT,,,146.0
Resort Hotel,1,77,July,2,0.0,PRT,250.0,,97.0
Resort Hotel,1,24,July,2,2.0,PRT,242.0,,123.0
Resort Hotel,1,44,July,2,2.0,PRT,240.0,,153.0
Resort Hotel,0,78,July,2,0.0,PRT,240.0,,82.0
Resort Hotel,1,17,July,2,0.0,PRT,240.0,,105.08
Resort Hotel,1,103,July,2,0.0,PRT,240.0,,65.42
Resort Hotel,0,16,July,1,0.0,RUS,250.0,,98.0
Resort Hotel,0,14,July,2,0.0,SWE,241.0,,75.46
Resort Hotel,0,77,July,2,0.0,POL,177.0,,65.5
Resort Hotel,0,90,July,2,0.0,FRA,6.0,,90.95
Resort Hotel,0,90,July,2,0.0,GBR,40.0,,93.6
Resort Hotel,0,90,July,2,0.0,GBR,143.0,,119.25
Resort Hotel,0,366,July,2,0.0,GBR,40.0,,134.73
Resort Hotel,0,249,July,2,0.0,PRT,240.0,,112.0
Resort Hotel,1,69,July,2,0.0,PRT,240.0,,118.13
Resort Hotel,0,10,July,2,0.0,USA,250.0,,131.0
